"","i","j","x"
"1",0,0,0.024081826672432
"2",1,1,0.0167663760820111
"3",2,2,0.00676530348511653
"4",3,3,0.00564363622582234
"5",4,4,0.00151812236089872
"6",5,5,0.00258690582010902
"7",6,6,0.000919904578895771
"8",7,7,0.000280554871706131
"9",8,8,0.00484732358901715
"10",9,9,0.000702303130007868
"11",10,10,0.00249282272044277
"12",11,11,0.00351326081911028
"13",12,12,0.0082739006722215
"14",13,13,0.0101069060595693
"15",14,14,0.00334653707163722
"16",15,15,0.00547194190985248
"17",16,16,0.00675315782667327
"18",17,17,0.00358177423270242
"19",18,18,0.00543134149729245
"20",19,19,0.00497955029459615
"21",20,20,0.00824892180292432
"22",21,21,0.00192433054456289
"23",22,22,0.00359913420250558
"24",23,23,0.00456776351071096
"25",24,24,0.00040976470801959
"26",25,25,0.0043059163028984
"27",26,26,0.000701630542744042
"28",27,27,0.0046609469084055
"29",28,28,0.00206770197231697
"30",29,29,0.0047635925247148
"31",30,30,0.00234601541374846
"32",31,31,0.0162276808520082
"33",32,32,0.0026630417646275
"34",33,33,0.00219907058740948
"35",34,34,0.00377428867978642
"36",35,35,0.00305002018758327
"37",36,36,0.000452609225601286
"38",37,37,0.00202648112360314
"39",38,38,0.00940696913478147
"40",39,39,0.0055451515807566
"41",40,40,0.00191999627189321
"42",41,41,0.00321162840440392
"43",42,42,0.0115086253120445
"44",43,43,0.00335983684824708
"45",44,44,0.000374785610774927
"46",45,45,0.00515669012975425
"47",46,46,0.00660901934148638
"48",47,47,0.00707898140909312
"49",48,48,0.0150200938379021
"50",49,49,0.00226840273081168
"51",50,50,0.0020993016047637
"52",51,51,0.00209069546598578
"53",52,52,0.009677706925873
"54",53,53,0.0111138504669615
"55",54,54,0.0100379650045639
"56",55,55,0.00258081021810623
"57",56,56,0.000498534818049884
"58",57,57,0.0320104845510392
"59",58,58,0.0147377052402382
"60",59,59,0.0156182315616684
"61",60,60,0.00416853192394686
"62",61,61,0.0080878709873841
"63",62,62,0.00790751551162017
"64",63,63,0.00623155115820156
"65",64,64,0.00653889565540697
"66",65,65,0.00338318164475414
"67",66,66,0.00608326388778481
"68",67,67,0.0103200530934793
"69",68,68,0.00600002258707174
"70",69,69,0.00868444732146913
"71",70,70,0.0142547043298741
"72",71,71,0.00549779797740827
"73",72,72,0.00464907154471203
"74",73,73,0.00570367234726634
